num_mutants_per_round,round_num,median_activity_scaled_mean,median_activity_scaled_std,top_activity_scaled_mean,top_activity_scaled_std,activity_binary_percentage_mean,activity_binary_percentage_std,dataset,model,experiment
16,1,0.24519008468355044,0.10683458100808174,0.4416933183859717,0.04977493410744965,0.9411764705882352,0.05882352941176472,ube2i,esm2_t36_3B_UR50D,esm2_3B_optimal
16,2,0.32807647127880557,0.050070272626826715,0.4837097241343655,0.020103221035920014,0.9803921568627451,0.033961780540566325,ube2i,esm2_t36_3B_UR50D,esm2_3B_optimal
16,3,0.36734766303953653,0.01830725921201348,0.6074207035441612,0.2266616851976027,1.0,0.0,ube2i,esm2_t36_3B_UR50D,esm2_3B_optimal
16,4,0.37233706385178333,0.02466091736570887,0.6074207035441612,0.2266616851976027,1.0,0.0,ube2i,esm2_t36_3B_UR50D,esm2_3B_optimal
16,5,0.39396672753250295,0.013294331821714564,0.6345036714868603,0.20408018864255698,0.9411764705882352,0.10188534162169868,ube2i,esm2_t36_3B_UR50D,esm2_3B_optimal
16,6,0.39818336948732874,0.013744899157387415,0.6508151065211946,0.19471511922443646,1.0,0.0,ube2i,esm2_t36_3B_UR50D,esm2_3B_optimal
16,7,0.4036040944395823,0.018088239305429632,0.6614060946721061,0.18232277220350976,1.0,0.0,ube2i,esm2_t36_3B_UR50D,esm2_3B_optimal
16,8,0.40525216195017055,0.017086121909381465,0.6614060946721061,0.18232277220350976,1.0,0.0,ube2i,esm2_t36_3B_UR50D,esm2_3B_optimal
16,9,0.40346968261421035,0.009360380393751084,0.6614060946721061,0.18232277220350976,1.0,0.0,ube2i,esm2_t36_3B_UR50D,esm2_3B_optimal
16,10,0.40699986181325126,0.01461633076497183,0.6847253411620687,0.17301403447859592,1.0,0.0,ube2i,esm2_t36_3B_UR50D,esm2_3B_optimal
