num_mutants_per_round,round_num,median_activity_scaled_mean,median_activity_scaled_std,top_activity_scaled_mean,top_activity_scaled_std,activity_binary_percentage_mean,activity_binary_percentage_std,dataset,model,experiment
16,1,0.31443824503738194,0.0576447456088617,0.534572753511617,0.11056032931648829,0.0980392156862745,0.06792356108113244,markin,esm2_t36_3B_UR50D,esm2_3B_optimal
16,2,0.3647547041172072,0.010893832947902166,0.5974683273613987,0.09307694950773986,0.15686274509803919,0.08985442539129097,markin,esm2_t36_3B_UR50D,esm2_3B_optimal
16,3,0.3710442615021852,0.010893832947902152,0.5974683273613987,0.09307694950773986,0.15686274509803919,0.08985442539129097,markin,esm2_t36_3B_UR50D,esm2_3B_optimal
16,4,0.38362337627214155,0.028822372804430865,0.5974683273613987,0.09307694950773986,0.15686274509803919,0.08985442539129097,markin,esm2_t36_3B_UR50D,esm2_3B_optimal
16,5,0.40878160581205414,0.028822372804430924,0.6037578847463768,0.08224663512215905,0.2156862745098039,0.1480359693190343,markin,esm2_t36_3B_UR50D,esm2_3B_optimal
16,6,0.42136072058201046,0.021787665895804442,0.6037578847463768,0.08224663512215905,0.29411764705882354,0.15563243006262295,markin,esm2_t36_3B_UR50D,esm2_3B_optimal
16,7,0.4276502779669886,0.028822372804430896,0.6037578847463768,0.08224663512215905,0.29411764705882354,0.15563243006262295,markin,esm2_t36_3B_UR50D,esm2_3B_optimal
16,8,0.44022939273694495,0.010893832947902185,0.7169699176759834,0.2538520214399761,0.392156862745098,0.03396178054056623,markin,esm2_t36_3B_UR50D,esm2_3B_optimal
16,9,0.44022939273694495,0.010893832947902185,0.7169699176759834,0.2538520214399761,0.41176470588235287,0.05882352941176468,markin,esm2_t36_3B_UR50D,esm2_3B_optimal
16,10,0.4276502779669886,0.010893832947902221,0.7169699176759834,0.2538520214399761,0.37254901960784315,0.03396178054056623,markin,esm2_t36_3B_UR50D,esm2_3B_optimal
